sid_total	session_id_total	ip_total	area	origin_channel	grouptype	time_type	year	quarter	month	day	hour
1	1	1	中国 甘肃 定西		1	3	2019	3	07		
1	1	1	中国 海南 琼海		1	3	2019	3	07		
2	2	2	中国 江西 宜春		1	1	2019	3	07	01	15
15	15	14	中国 江西 吉安		1	3	2019	3	07		
69	69	62	中国 广东		1	3	2019	3	07		
5	5	5	中国 河南 焦作		1	3	2019	3	07		
1	1	1	中国 浙江 衢州		1	3	2019	3	07		
6	6	4	中国 内蒙古 包头		1	3	2019	3	07		
5	5	5	中国 江西 上饶		1	3	2019	3	07		
1	1	1	中国 甘肃 临夏回族自治州		1	3	2019	3	07		
2	2	1	日本 东京都 东京		1	3	2019	3	07		
1	1	1	德国 德国		1	3	2019	3	07		
6	6	6	中国 广东 珠海		1	3	2019	3	07		
5	5	4	中国 湖北 孝感		1	3	2019	3	07		
1	1	1	中国 内蒙古 锡林郭勒盟		1	3	2019	3	07		
4	4	4	中国 湖南 岳阳		1	3	2019	3	07		
4	4	4	中国 江苏 泰州		1	3	2019	3	07		
2	2	2	中国 安徽 芜湖		1	3	2019	3	07		
4	4	4	中国 广东 梅州		1	3	2019	3	07		
2	2	2	中国 河南 鹤壁		1	3	2019	3	07		
7	7	7	中国 贵州 遵义		1	3	2019	3	07		
2	2	2	中国 新疆 哈密		1	3	2019	3	07		
4	4	4	中国 山西 长治		1	3	2019	3	07		
1	1	1	中国 河北 承德		1	3	2019	3	07		
3	3	3	中国 安徽 黄山		1	3	2019	3	07		
1	1	1	中国 江西 景德镇		1	3	2019	3	07		
10	10	9	中国 内蒙古 呼和浩特		1	3	2019	3	07		
17	17	17	中国 陕西		1	3	2019	3	07		
7	7	7	中国 浙江 绍兴		1	3	2019	3	07		
1	1	1	奥地利 奥地利		1	3	2019	3	07		
3	3	3	中国 云南 昭通		1	3	2019	3	07		
15	15	13	中国 辽宁		1	3	2019	3	07		
28	28	27	中国 山西		1	3	2019	3	07		
2	2	2	中国 广东 潮州		1	3	2019	3	07		
2	2	2	日本 日本		1	3	2019	3	07		
4	4	4	中国 云南 红河哈尼族彝族自治州		1	3	2019	3	07		
11	11	11	中国 山东 临沂		1	3	2019	3	07		
3	3	3	中国 广西 梧州		1	3	2019	3	07		
61	61	61		神马	2	3	2019	3	07		
1	1	1	中国 河南 济源		1	3	2019	3	07		
2	2	2	中国 甘肃 天水		1	3	2019	3	07		
16	16	16	中国 贵州 贵阳		1	3	2019	3	07		
1	1	1	中国 福建 南平		1	3	2019	3	07		
11	11	11	中国 河南 洛阳		1	3	2019	3	07		
10	10	8	中国 广东 河源		1	3	2019	3	07		
457	459	451		360推广	2	3	2019	3	07		
8	8	8	中国 河北 秦皇岛		1	3	2019	3	07		
2	2	2	中国 江西 抚州		1	3	2019	3	07		
8	8	8	中国 河南 漯河		1	3	2019	3	07		
14	14	14	中国 甘肃		1	2	2019	3	07	25	
3	3	3	中国 安徽 蚌埠		1	3	2019	3	07		
7	7	7	中国 广东 茂名		1	3	2019	3	07		
4	4	4	中国 广西 百色		1	3	2019	3	07		
28	28	27	中国 山西		1	2	2019	3	07	01	
1	1	1	中国 云南 大理白族自治州		1	3	2019	3	07		
12	12	12	中国 广东 湛江		1	2	2019	3	07	01	
55	55	50	中国 四川 成都		1	2	2019	3	07	25	
8	8	8	中国 河北 秦皇岛		1	2	2019	3	07	25	
10	10	9	中国 河南 濮阳		1	2	2019	3	07	01	
2	2	2	中国 安徽 六安		1	2	2019	3	07	01	
8	8	7	中国 四川 绵阳		1	2	2019	3	07	01	
1	1	1	中国 海南 保亭黎族苗族自治县		1	3	2019	3	07		
6	6	6	中国 河南 许昌		1	3	2019	3	07		
48	50	45	中国 安徽 合肥		1	2	2019	3	07	01	
3	3	3	中国 辽宁 阜新		1	3	2019	3	07		
7	7	7	中国 山东 菏泽		1	2	2019	3	07	01	
10	10	10	中国 广东 清远		1	3	2019	3	07		
4	4	4	中国 河北 张家口		1	2	2019	3	07	01	
32	32	29	中国 安徽		1	3	2019	3	07		
9	9	9	中国 江苏 徐州		1	2	2019	3	07	01	
7	7	7	中国 吉林 长春		1	3	2019	3	07		
4	4	4	中国 湖北 仙桃		1	2	2019	3	07	01	
1	1	1	本机地址 本机地址		1	3	2019	3	07		
3	3	3	中国 河北 衡水		1	2	2019	3	07	25	
1	1	1	中国 新疆		1	3	2019	3	07		
3	3	3	中国 安徽 安庆		1	2	2019	3	07	25	
191	191	173	中国 广东 深圳		1	3	2019	3	07		
5	5	5	中国 陕西 宝鸡		1	2	2019	3	07	25	
28	28	26	中国 山东		1	3	2019	3	07		
3	3	3	中国 河北 衡水		1	2	2019	3	07	01	
52	52	49	中国 浙江		1	3	2019	3	07		
1	1	1	中国 新疆		1	2	2019	3	07	25	
28	28	28	中国 广西		1	3	2019	3	07		
53	53	49	中国 湖南 长沙		1	2	2019	3	07	01	
10	10	9	中国 山东 烟台		1	3	2019	3	07		
43	45	43	中国 湖北		1	2	2019	3	07	25	
2	2	2	中国 辽宁 营口		1	3	2019	3	07		
37	37	35	中国 广东 东莞		1	2	2019	3	07	25	
1	1	1	中国 吉林 松原		1	3	2019	3	07		
12	12	9	中国 山西 运城		1	2	2019	3	07	01	
1	1	1	中国 甘肃 平凉		1	3	2019	3	07		
11	11	11	中国 湖南 衡阳		1	2	2019	3	07	25	
19	19	19	中国 河北 保定		1	3	2019	3	07		
6	6	6	中国 山西 临汾		1	2	2019	3	07	25	
4	4	4	中国 河北 张家口		1	3	2019	3	07		
4	4	4	中国 湖南 岳阳		1	2	2019	3	07	01	
30	30	29	中国 四川		1	3	2019	3	07		
6	6	6	中国 江西 宜春		1	2	2019	3	07	01	
6	6	5	中国 陕西 渭南		1	3	2019	3	07		
1	1	1	中国 黑龙江 绥化		1	2	2019	3	07	25	
5	5	5	中国 广西 河池		1	3	2019	3	07		
3	3	3	中国 云南 丽江		1	2	2019	3	07	01	
1	1	1	中国 新疆 伊犁哈萨克自治州		1	3	2019	3	07		
191	191	173	中国 广东 深圳		1	2	2019	3	07	01	
8	8	8	中国 内蒙古		1	3	2019	3	07		
22	23	21	中国 江苏 苏州		1	2	2019	3	07	25	
1	1	1	中国 贵州 毕节		1	3	2019	3	07		
6	6	6	中国 福建 龙岩		1	3	2019	3	07		
3	3	3	中国 云南 昭通		1	2	2019	3	07	25	
2	2	2	柬埔寨 柬埔寨		1	3	2019	3	07		
12	12	12	中国 河南 新乡		1	2	2019	3	07	01	
51	51	48	中国 湖南		1	3	2019	3	07		
16	16	15	中国 河北 廊坊		1	2	2019	3	07	01	
1	1	1	中国 安徽 淮北		1	3	2019	3	07		
26	26	25	中国 广东 佛山		1	2	2019	3	07	25	
33	33	30	中国 江苏 南京		1	3	2019	3	07		
1	1	1	中国 湖北 鄂州		1	3	2019	3	07		
6	6	4	中国 山东 东营		1	2	2019	3	07	01	
5	5	5	中国 陕西 宝鸡		1	3	2019	3	07		
19	19	16	中国 浙江 宁波		1	3	2019	3	07		
12	12	11	中国 山东 潍坊		1	2	2019	3	07	01	
5	5	4	中国 福建 漳州		1	3	2019	3	07		
22	22	21	中国 江西 南昌		1	2	2019	3	07	01	
8	8	7	中国 四川 绵阳		1	3	2019	3	07		
5	5	5	中国 湖北 咸宁		1	3	2019	3	07		
7	7	7	中国 山东 菏泽		1	3	2019	3	07		
11	12	11	中国 贵州		1	3	2019	3	07		
183	183	166	中国 上海 上海		1	3	2019	3	07		
7	7	7	中国 浙江 嘉兴		1	3	2019	3	07		
12	12	12	中国 广东 湛江		1	3	2019	3	07		
4	4	4	中国 湖北 黄冈		1	3	2019	3	07		
